concept_id,concept_name,concept_code,vocabulary_id,dx_class
320651,Severe acute respiratory syndrome,398447004,SNOMED,dx
37016927,Pneumonia caused by Human coronavirus,713084008,SNOMED,dx
37310254,Otitis media caused by 2019 novel coronavirus,1.24E+15,SNOMED,dx
37310283,Gastroenteritis caused by 2019 novel coronavirus,1.24E+15,SNOMED,dx
37310284,Encephalopathy caused by 2019 novel coronavirus,1.24E+15,SNOMED,dx
37310285,Pneumonia caused by 2019 novel coronavirus,1.24E+15,SNOMED,dx
37310286,Infection of upper respiratory tract caused by 2019 novel coronavirus,1.24E+15,SNOMED,dx
37310287,Myocarditis caused by 2019 novel coronavirus,1.24E+15,SNOMED,dx
37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,840539006,SNOMED,dx
37396171,Severe acute respiratory syndrome of upper respiratory tract,715882005,SNOMED,dx
40479642,Pneumonia due to Severe acute respiratory syndrome coronavirus,441590008,SNOMED,dx
4100065,Disease due to Coronaviridae,27619001,SNOMED,dx
4248811,Healthcare associated severe acute respiratory syndrome,408688009,SNOMED,dx
439676,Coronavirus infection,186747009,SNOMED,dx
45763594,Middle East respiratory syndrome,6.51E+11,SNOMED,dx
756023,Acute bronchitis caused by severe acute respiratory syndrome coronavirus 2,OMOP4873906,OMOP Extension,dx
756031,Bronchitis caused by severe acute respiratory syndrome coronavirus 2,OMOP4873909,OMOP Extension,dx
756039,Respiratory infection caused by severe acute respiratory syndrome coronavirus 2,OMOP4873907,OMOP Extension,dx
756044,Acute respiratory distress syndrome (ARDS) caused by severe acute respiratory syndrome coronavirus 2,OMOP4873911,OMOP Extension,dx
756061,Asymptomatic infection caused by severe acute respiratory syndrome coronavirus 2,OMOP4873910,OMOP Extension,dx
756081,Infection of lower respiratory tract caused by severe acute respiratory syndrome coronavirus 2,OMOP4873908,OMOP Extension,dx
704996,Patient meets COVID-19 laboratory diagnostic criteria,OMOP4912978,SNOMED,dx
713856,Multisystem inflammatory syndrome (MIS),M35.81,ICD10CM,dx
703578,Multisystem inflammatory syndrome (MIS),OMOP5042964,OMOP Extension,dx
3661405,Acute bronchitis caused by SARS-CoV-2,1.38E+17,SNOMED,dx
3661406,Acute respiratory distress syndrome due to disease caused by Severe acute respiratory syndrome coronavirus 2,6.75E+17,SNOMED,dx
3661408,Pneumonia caused by SARS-CoV-2,8.83E+17,SNOMED,dx
3662381,Asymptomatic SARS-CoV-2,1.89E+17,SNOMED,dx
3663281,Lower respiratory infection caused by SARS-CoV-2,8.81E+17,SNOMED,dx
3655975,Sepsis due to disease caused by Severe acute respiratory syndrome coronavirus 2,870588003,SNOMED,dx
3655976,Acute hypoxemic respiratory failure due to disease caused by Severe acute respiratory syndrome coronavirus 2,870590002,SNOMED,dx
3655977,Rhabdomyolysis due to disease caused by Severe acute respiratory syndrome coronavirus 2,870591003,SNOMED,dx
3656667,Cardiomyopathy due to disease caused by Severe acute respiratory syndrome coronavirus 2,1.20E+14,SNOMED,dx
3656668,Conjunctivitis due to disease caused by Severe acute respiratory syndrome coronavirus 2,1.20E+14,SNOMED,dx
3656669,Dyspnea caused by Severe acute respiratory syndrome coronavirus 2,1.20E+14,SNOMED,dx
3661632,Thrombocytopenia due to Severe acute respiratory syndrome coronavirus 2,866152006,SNOMED,dx
3661748,Acute kidney injury due to disease caused by Severe acute respiratory syndrome coronavirus 2,870589006,SNOMED,dx
3661885,Fever caused by Severe acute respiratory syndrome coronavirus 2,1.20E+14,SNOMED,dx
710706,"Post COVID-19 condition, unspecified",U09.9,ICD10,dx
