new_check_name,old_check_name
dcon_condsasthma-drugsbroncho,dcon_asthma_dx_broncho_rx
dcon_visop-condsop,dcon_OP_visits_OP_conds
dcon_condst1d-drugsinsulin,dcon_t1d_dx_insulin_rx
dcon_visip-condsip,dcon_IP_visits_IP_conds
dcon_labsrsvneg-condsrsv,dcon_rsv_neg_lab_rsv_dx
dcon_vised-condsed,dcon_ED_visits_ED_conds
dcon_visgp-condswcc-procswcc,dcon_gp_visits_wc_codes
dcon_condsfrac-procsimg,dcon_frac_dx_img_px
dcon_labsfluneg-condsflu,dcon_flu_neg_lab_flu_dx
dcon_condsleukemia-speconco,dcon_leukemia_dx_onco_spec
dcon_labsflupos-condsflu,dcon_flu_pos_lab_flu_dx
dcon_condsckd-drugshtn,dcon_ckd_dx_htn_rx
dcon_labsrsvpos-condsrsv,dcon_rsv_pos_lab_rsv_dx
dcon_condsnephsyn-specneph,dcon_nephsyn_dx_neph_spec
