schema_current,table_current,schema_prev,table_prev,filter_logic,check_domain,check_id,check_description
cdm,demographic,cdm,demographic,,Person,demog,Person
cdm,diagnosis,cdm,diagnosis,,Diagnoses,condsall,Diagnoses
cdm,immunization,cdm,immunization,,Immunizations,immsall,Immunizations
cdm,encounter,cdm,encounter,,Visits,visall,Visits
cdm,vital,cdm,vital,,Vitals,vitalsall,Vital Signs
cdm,lab_result_cm,cdm,lab_result_cm,,Labs,labsall,Lab Tests
cdm,diagnosis,cdm,diagnosis,"enc_type %in% c('AV', 'TH')",Diagnoses,condsop,"Diagnoses, outpatient"
cdm,diagnosis,cdm,diagnosis,"enc_type %in% c('IP', 'EI')",Diagnoses,condsip,"Diagnoses, inpatient"
cdm,diagnosis,cdm,diagnosis,"enc_type %in% c('ED', 'EI')",Diagnoses,condsed,"Diagnoses, ED"
cdm,diagnosis,cdm,diagnosis,"enc_type %in% c('AV', 'TH') & dx_origin == 'BI'",Diagnoses,condsop-condsbill,"Diagnoses, outpatient billing"
cdm,diagnosis,cdm,diagnosis,"enc_type %in% c('AV', 'TH') & dx_origin == 'OD'",Diagnoses,condsop-condsorder,"Diagnoses, outpatient ordered"
cdm,diagnosis,cdm,diagnosis,"enc_type %in% c('IP', 'EI') & dx_origin == 'OD'",Diagnoses,condsip-condsorder,"Diagnoses, inpatient ordered"
cdm,diagnosis,cdm,diagnosis,"enc_type %in% c('IP', 'EI') & dx_origin == 'BI'",Diagnoses,condsip-condsbill,"Diagnoses, inpatient billing"
cdm,encounter,cdm,encounter,enc_type == 'AV',Visits,visofc,"Visits, office"
cdm,encounter,cdm,encounter,enc_type == 'TH',Visits,vistele,"Visits, telehealth"
cdm,encounter,cdm,encounter,enc_type == 'OA',Visits,visoa,"Visits, other ambulatory"
cdm,encounter,cdm,encounter,enc_type == 'IP',Visits,visip,"Visits, inpatient"
cdm,encounter,cdm,encounter,enc_type == 'EI',Visits,visei,"Visits, ED to inpatient"
cdm,encounter,cdm,encounter,enc_type == 'ED',Visits,vised,"Visits, ED"
cdm,encounter,cdm,encounter,enc_type == 'OS',Visits,visobs,"Visits, observation"
cdm,prescribing,cdm,prescribing,,Drugs,drugspresc,"Drugs, prescriptions"
cdm,med_admin,cdm,med_admin,,Drugs,drugsip,"Drugs, inpatient administrations"
cdm,procedures,cdm,procedures,px_source == 'BI',Procedures,procsbill,"Procedures, billing"
cdm,procedures,cdm,procedures,px_source == 'OD',Procedures,procsord,"Procedures, ordered"
cdm,procedures,cdm,procedures,,Procedures,procsall,Procedures
result,c19_dx_lab_current,result,c19_dx_lab_prev,,COVID19,condscovid19-labscovid19,COVID19 diagnosis with a lab
cdm,provider,cdm,provider,,Providers,provall,Providers
