concept_id,concept_code,concept_name,vocabulary_id
45876386,LA8967-7,Good,LOINC
45876387,LA8968-5,Fair,LOINC
45876751,LA8969-3,Poor,LOINC
45881924,LA9206-9,Excellent,LOINC
45884457,LA13913-1,Very Good,LOINC
45876949,LA13940-4,A little,LOINC
45878070,LA13938-8,Mostly,LOINC
45879118,LA13937-0,Completely,LOINC
45883172,LA6568-5,Not at all,LOINC
45884554,LA13939-6,Moderately,LOINC
1177184,LA26951-6,"0:""No pain""",LOINC
36210296,LA26952-4,10 - worst pain imaginable,LOINC
45878148,LA6113-0,2,LOINC
45878254,LA10138-8,6,LOINC
45878303,LA6112-2,1,LOINC
45878304,LA6115-5,4,LOINC
45878305,LA6114-8,3,LOINC
45878730,LA10137-0,5,LOINC
45878731,LA10139-6,7,LOINC
45880017,LA19102-5,0 - no pain,LOINC
45882130,LA10140-4,8,LOINC
45884157,LA10141-2,9,LOINC
46237547,LA21948-7,10 - worst imaginable pain,LOINC
45877983,LA6751-7,Moderate,LOINC
45878582,LA137-2,None,LOINC
45883535,LA6752-5,Mild,LOINC
45883536,LA6750-9,Severe,LOINC
45883841,LA13958-6,Very severe,LOINC
45876662,LA6270-8,Never,LOINC
45876672,LA10066-1,Rarely,LOINC
45882528,LA10082-8,Sometimes,LOINC
45882536,LA9933-8,Always,LOINC
45884455,LA10044-8,Often,LOINC
