concept_id,concept_code,concept_name,vocabulary_id
40756790,17.70,Intravenous infusion of clofarabine,ICD9Proc
2008271,99.25,Injection or infusion of cancer chemotherapeutic substance,ICD9Proc
42740896,90768,"Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary procedure) (Deprecated)",CPT4
42739887,99555,"Home infusion for chemotherapy, per diem (Deprecated)",CPT4
42739883,99551,"Home infusion for pain management (intravenous or subcutaneous), per diem (Deprecated)",CPT4
42740826,90760,"Intravenous infusion, hydration; initial, up to 1 hour (Deprecated)",CPT4
45889421,1009350,"Injection/infusion of neurolytic substance (eg, alcohol, phenol, iced saline solutions), with or without other therapeutic substance",CPT4
45890434,1013439,Injection and Intravenous Infusion Chemotherapy and Other Highly Complex Drug or Highly Complex Biologic Agent Administration,CPT4
2313932,93623,Programmed stimulation and pacing after intravenous drug infusion (List separately in addition to code for primary procedure),CPT4
45888168,1019330,"Intravenous infusion, hydration",CPT4
42738323,90780,"Intravenous infusion for therapy/diagnosis, administered by physician or under direct supervision of physician; up to one hour (Deprecated)",CPT4
42738324,90781,"Intravenous infusion for therapy/diagnosis, administered by physician or under direct supervision of physician; each additional hour, up to eight (8) hours (List separately in addition to code for primary procedure) (Deprecated)",CPT4
2212141,80408,"Aldosterone suppression evaluation panel (eg, saline infusion) This panel must include the following: Aldosterone (82088 x 2) Renin (84244 x 2)",CPT4
2212075,79403,"Radiopharmaceutical therapy, radiolabeled monoclonal antibody by intravenous infusion",CPT4
2110613,62281,"Injection/infusion of neurolytic substance (eg, alcohol, phenol, iced saline solutions), with or without other therapeutic substance; epidural, cervical or thoracic",CPT4
2110614,62282,"Injection/infusion of neurolytic substance (eg, alcohol, phenol, iced saline solutions), with or without other therapeutic substance; epidural, lumbar, sacral (caudal)",CPT4
2110612,62280,"Injection/infusion of neurolytic substance (eg, alcohol, phenol, iced saline solutions), with or without other therapeutic substance; subarachnoid",CPT4
2108328,37195,"Thrombolysis, cerebral, by intravenous infusion",CPT4
2108273,36640,"Arterial catheterization for prolonged infusion therapy (chemotherapy), cutdown",CPT4
2108097,36260,"Insertion of implantable intra-arterial infusion pump (eg, for chemotherapy of liver)",CPT4
