concept_id,concept_code,concept_name,vocabulary_id
1620337,LA28858-1,40,LOINC
1620373,LA32059-0,120,LOINC
1620405,LA28853-2,60,LOINC
1620483,LA28891-2,90,LOINC
1620589,LA32060-8,150 or greater,LOINC
1620605,LA28855-7,30,LOINC
1620615,LA28854-0,50,LOINC
36310794,LA19282-5,20,LOINC
45878306,LA13942-0,10,LOINC
45880618,LA6111-4,0,LOINC
45878148,LA6113-0,2,LOINC
45878254,LA10138-8,6,LOINC
45878303,LA6112-2,1,LOINC
45878304,LA6115-5,4,LOINC
45878305,LA6114-8,3,LOINC
45878730,LA10137-0,5,LOINC
45878731,LA10139-6,7,LOINC
