concept_id,concept_code,concept_name,domain_id,vocabulary_id
1,AAR,Afar,Demographic,PCORnet
1,ABK,Abkhazian,Demographic,PCORnet
1,ACE,Achinese,Demographic,PCORnet
1,ACH,Acoli,Demographic,PCORnet
1,ADA,Adangme,Demographic,PCORnet
1,ADY,Adyghe;  Adygei,Demographic,PCORnet
1,AFR,Afrikaans,Demographic,PCORnet
1,AIN,Ainu,Demographic,PCORnet
1,AKA,Akan,Demographic,PCORnet
1,ALE,Aleut,Demographic,PCORnet
1,ALT,Southern  Altai,Demographic,PCORnet
1,AMH,Amharic,Demographic,PCORnet
1,ANP,Angika,Demographic,PCORnet
1,ARA,Arabic,Demographic,PCORnet
1,ARG,Aragonese,Demographic,PCORnet
1,ARN,Mapudungun;  Mapuche,Demographic,PCORnet
1,ARP,Arapaho,Demographic,PCORnet
1,ARW,Arawak,Demographic,PCORnet
1,ASL,American Sign Language,Demographic,PCORnet
1,ASM,Assamese,Demographic,PCORnet
1,AST,Asturian;  Bable;  Leonese;  Asturleonese,Demographic,PCORnet
1,AVA,Avaric,Demographic,PCORnet
1,AWA,Awadhi,Demographic,PCORnet
1,AYM,Aymara,Demographic,PCORnet
1,AZE,Azerbaijani,Demographic,PCORnet
1,BAK,Bashkir,Demographic,PCORnet
1,BAL,Baluchi,Demographic,PCORnet
1,BAM,Bambara,Demographic,PCORnet
1,BAN,Balinese,Demographic,PCORnet
1,BAS,Basa,Demographic,PCORnet
1,BEJ,Beja;  Bedawiyet,Demographic,PCORnet
1,BEL,Belarusian,Demographic,PCORnet
1,BEM,Bemba,Demographic,PCORnet
1,BEN,Bengali,Demographic,PCORnet
1,BHO,Bhojpuri,Demographic,PCORnet
1,BIK,Bikol,Demographic,PCORnet
1,BIN,Bini;  Edo,Demographic,PCORnet
1,BIS,Bislama,Demographic,PCORnet
1,BLA,Siksika,Demographic,PCORnet
1,BOD,Tibetan,Demographic,PCORnet
1,BOS,Bosnian,Demographic,PCORnet
1,BRA,Braj,Demographic,PCORnet
1,BRE,Breton,Demographic,PCORnet
1,BUA,Buriat,Demographic,PCORnet
1,BUG,Buginese,Demographic,PCORnet
1,BUL,Bulgarian,Demographic,PCORnet
1,BYN,Bilin;  Blin,Demographic,PCORnet
1,CAD,Caddo,Demographic,PCORnet
1,CAR,Galibi  Carib,Demographic,PCORnet
1,CAT,Catalan;  Valencian,Demographic,PCORnet
1,CEB,Cebuano,Demographic,PCORnet
1,CES,Czech,Demographic,PCORnet
1,CHA,Chamorro,Demographic,PCORnet
1,CHE,Chechen,Demographic,PCORnet
1,CHK,Chuukese,Demographic,PCORnet
1,CHM,Mari,Demographic,PCORnet
1,CHN,Chinook  jargon,Demographic,PCORnet
1,CHO,Choctaw,Demographic,PCORnet
1,CHP,Chipewyan;  Dene  Suline,Demographic,PCORnet
1,CHR,Cherokee,Demographic,PCORnet
1,CHV,Chuvash,Demographic,PCORnet
1,CHY,Cheyenne,Demographic,PCORnet
1,CNR,Montenegrin,Demographic,PCORnet
1,COR,Cornish,Demographic,PCORnet
1,COS,Corsican,Demographic,PCORnet
1,CRE,Cree,Demographic,PCORnet
1,CRH,Crimean  Tatar;  Crimean  Turkish,Demographic,PCORnet
1,CSB,Kashubian,Demographic,PCORnet
1,CYM,Welsh,Demographic,PCORnet
1,DAK,Dakota,Demographic,PCORnet
1,DAN,Danish,Demographic,PCORnet
1,DAR,Dargwa,Demographic,PCORnet
1,DEL,Delaware,Demographic,PCORnet
1,DEN,Slave  (Athapascan),Demographic,PCORnet
1,DEU,German,Demographic,PCORnet
1,DGR,Dogrib,Demographic,PCORnet
1,DIN,Dinka,Demographic,PCORnet
1,DIV,Dhivehi;  Dhivehi;  Maldivian,Demographic,PCORnet
1,DOI,Dogri,Demographic,PCORnet
1,DSB,Lower  Sorbian,Demographic,PCORnet
1,DUA,Duala,Demographic,PCORnet
1,DYU,Dyula,Demographic,PCORnet
1,DZO,Dzongkha,Demographic,PCORnet
1,EFI,Efik,Demographic,PCORnet
1,EKA,Ekajuk,Demographic,PCORnet
1,ELL,Modern  Greek  (1453–),Demographic,PCORnet
1,ENG,English,Demographic,PCORnet
1,EST,Estonian,Demographic,PCORnet
1,EUS,Basque,Demographic,PCORnet
1,EWE,Ewe,Demographic,PCORnet
1,EWO,Ewondo,Demographic,PCORnet
1,FAN,Fang,Demographic,PCORnet
1,FAO,Faroese,Demographic,PCORnet
1,FAS,Persian,Demographic,PCORnet
1,FAT,Fanti,Demographic,PCORnet
1,FIJ,Fijian,Demographic,PCORnet
1,FIL,Filipino;  Pilipino,Demographic,PCORnet
1,FIN,Finnish,Demographic,PCORnet
1,FON,Fon,Demographic,PCORnet
1,FRA,French,Demographic,PCORnet
1,FRR,Northern  Frisian,Demographic,PCORnet
1,FRS,Eastern  Frisian,Demographic,PCORnet
1,FRY,Western  Frisian,Demographic,PCORnet
1,FUL,Fulah,Demographic,PCORnet
1,FUR,Friulian,Demographic,PCORnet
1,GAA,Ga,Demographic,PCORnet
1,GAY,Gayo,Demographic,PCORnet
1,GBA,Gbaya,Demographic,PCORnet
1,GIL,Gilbertese,Demographic,PCORnet
1,GLA,Gaelic;  Scottish  Gaelic,Demographic,PCORnet
1,GLE,Irish,Demographic,PCORnet
1,GLG,Galician,Demographic,PCORnet
1,GLV,Manx,Demographic,PCORnet
1,GON,Gondi,Demographic,PCORnet
1,GOR,Gorontalo,Demographic,PCORnet
1,GRB,Grebo,Demographic,PCORnet
1,GRN,Guarani,Demographic,PCORnet
1,GSW,Swiss  German;  Alemannic;  Alsatian,Demographic,PCORnet
1,GUJ,Gujarati,Demographic,PCORnet
1,GWI,Gwich'in,Demographic,PCORnet
1,HAI,Haida,Demographic,PCORnet
1,HAT,Haitian;  Haitian  Creole,Demographic,PCORnet
1,HAU,Hausa,Demographic,PCORnet
1,HAW,Hawaiian,Demographic,PCORnet
1,HEB,Hebrew,Demographic,PCORnet
1,HER,Herero,Demographic,PCORnet
1,HIL,Hiligaynon,Demographic,PCORnet
1,HIN,Hindi,Demographic,PCORnet
1,HMN,Hmong;  Mong,Demographic,PCORnet
1,HMO,Hiri  Motu,Demographic,PCORnet
