"concept_id","concept_code","concept_name","vocabulary_id"
38003563,Hispanic,Hispanic or Latino,Ethnicity
38003564,Not Hispanic,Not Hispanic or Latino,Ethnicity
38003591,"2.18",Thai,Race
8657,"1",American Indian or Alaska Native,Race
38003572,"1.01",American Indian,Race
38003573,"1.02",Alaska Native,Race
8515,"2",Asian,Race
38003574,"2.01",Asian Indian,Race
38003575,"2.02",Bangladeshi,Race
38003576,"2.03",Bhutanese,Race
38003577,"2.04",Burmese,Race
38003578,"2.05",Cambodian,Race
38003579,"2.06",Chinese,Race
38003580,"2.07",Taiwanese,Race
38003581,"2.08",Filipino,Race
38003582,"2.09",Hmong,Race
38003583,"2.10",Indonesian,Race
38003584,"2.11",Japanese,Race
38003585,"2.12",Korean,Race
38003586,"2.13",Laotian,Race
38003587,"2.14",Malaysian,Race
38003588,"2.15",Okinawan,Race
38003589,"2.16",Pakistani,Race
38003590,"2.17",Sri Lankan,Race
38003592,"2.19",Vietnamese,Race
38003593,"2.20",Iwo Jiman,Race
38003594,"2.21",Maldivian,Race
38003595,"2.22",Nepalese,Race
38003596,"2.23",Singaporean,Race
38003597,"2.24",Madagascar,Race
8516,"3",Black or African American,Race
38003598,"3.01",Black,Race
38003599,"3.02",African American,Race
38003600,"3.03",African,Race
38003601,"3.04",Bahamian,Race
38003602,"3.05",Barbadian,Race
38003603,"3.06",Dominican,Race
38003604,"3.07",Dominica Islander,Race
38003605,"3.08",Haitian,Race
38003606,"3.09",Jamaican,Race
38003607,"3.10",Tobagoan,Race
38003608,"3.11",Trinidadian,Race
38003609,"3.12",West Indian,Race
8557,"4",Native Hawaiian or Other Pacific Islander,Race
38003610,"4.01",Polynesian,Race
38003611,"4.02",Micronesian,Race
38003612,"4.03",Melanesian,Race
38003613,"4.04",Other Pacific Islander,Race
8527,"5",White,Race
38003614,"5.01",European,Race
38003615,"5.02",Middle Eastern or North African,Race
38003616,"5.03",Arab,Race
8522,"9",Other Race,Race
9178,RAC100,Non-white,Race
8552,UNK,Unknown,Race
