concept_id,concept_code,concept_name,domain_id,vocabulary_id
1,ARTERIOVENOUS_FISTULA,Arteriovenous fistula route (qualifier value),Route,PCORnet
1,ARTERIOVENOUS_GRAFT,Arteriovenous graft route (qualifier value),Route,PCORnet
1,BODY_CAVITY,Body cavity route (qualifier value),Route,PCORnet
1,BUCCAL,Buccal route (qualifier value),Route,PCORnet
1,CAUDAL,Caudal route (qualifier value),Route,PCORnet
1,COLOSTOMY,Colostomy route (qualifier value),Route,PCORnet
1,CONJUNCTIVAL,Conjunctival route (qualifier value),Route,PCORnet
1,CUTANEOUS,Cutaneous route (qualifier value),Route,PCORnet
1,DENTAL,Dental route (qualifier value),Route,PCORnet
1,DIGESTIVE_TRACT,Digestive tract route (qualifier value),Route,PCORnet
1,ENDOCERVICAL,Endocervical route (qualifier value),Route,PCORnet
1,ENDOSINUSIAL,Endosinusial route (qualifier value),Route,PCORnet
1,ENDOTRACHEOPULMONARY,Endotracheopulmonary route (qualifier value),Route,PCORnet
1,ENTERAL,Enteral route (qualifier value),Route,PCORnet
1,EPIDURAL,Epidural route (qualifier value),Route,PCORnet
1,EPILESIONAL,Epilesional route (qualifier value),Route,PCORnet
1,ESOPHAGOSTOMY,Esophagostomy route (qualifier value),Route,PCORnet
1,EXTRA_AMNIOTIC,Extra-amniotic route (qualifier value),Route,PCORnet
1,EXTRACORPOREAL,Extracorporeal route (qualifier value),Route,PCORnet
1,EXTRACORPOREAL_HEMODIALYSIS,Extracorporeal hemodialysis route (qualifier value),Route,PCORnet
1,FISTULA,Fistula route (qualifier value),Route,PCORnet
1,GASTRO_INTESTINAL_STOMA,Gastro-intestinal stoma route (qualifier value),Route,PCORnet
1,GASTROENTERAL,Gastroenteral route (qualifier value),Route,PCORnet
1,GASTROSTOMY,Gastrostomy route (qualifier value),Route,PCORnet
1,GINGIVAL,Gingival route (qualifier value),Route,PCORnet
1,ILEOSTOMY,Ileostomy route (qualifier value),Route,PCORnet
1,INFILTRATION,Infiltration route (qualifier value),Route,PCORnet
1,INTERSTITIAL,Interstitial route (qualifier value),Route,PCORnet
1,INTESTINAL,Intestinal route (qualifier value),Route,PCORnet
1,INTRA_ARTERIAL,Intra-arterial route (qualifier value),Route,PCORnet
1,INTRA_ARTICULAR,Intra-articular route (qualifier value),Route,PCORnet
1,INTRAABDOMINAL,Intraabdominal route (qualifier value),Route,PCORnet
1,INTRAAMNIOTIC,Intraamniotic route (qualifier value),Route,PCORnet
1,INTRABILIARY,Intrabiliary route (qualifier value),Route,PCORnet
1,INTRABRONCHIAL,Intrabronchial route (qualifier value),Route,PCORnet
1,INTRABURSAL,Intrabursal route (qualifier value),Route,PCORnet
1,INTRACAMERAL,Intracameral route (qualifier value),Route,PCORnet
1,INTRACARDIAC,Intracardiac route (qualifier value),Route,PCORnet
1,INTRACARTILAGINOUS,Intracartilaginous route (qualifier value),Route,PCORnet
1,INTRACATHETER_INSTILLATION,Intracatheter instillation route (qualifier value),Route,PCORnet
1,INTRACAVERNOUS,Intracavernous route (qualifier value),Route,PCORnet
1,INTRACEREBRAL,Intracerebral route (qualifier value),Route,PCORnet
1,INTRACEREBROVENTRICULAR,Intracerebroventricular route (qualifier value),Route,PCORnet
1,INTRACERVICAL,Intracervical route (qualifier value),Route,PCORnet
1,INTRACHOLANGIOPANCREATIC,Intracholangiopancreatic route (qualifier value),Route,PCORnet
1,INTRACISTERNAL,Intracisternal route (qualifier value),Route,PCORnet
1,INTRACOLONIC,Intracolonic route (qualifier value),Route,PCORnet
1,INTRACORNEAL,Intracorneal route (qualifier value),Route,PCORnet
1,INTRACORONAL,Intracoronal route (qualifier value),Route,PCORnet
1,INTRACORONARY,Intracoronary route (qualifier value),Route,PCORnet
1,INTRACORPORUS_CAVERNOSUM_OF_PENIS,Intracorporus cavernosum of penis route (qualifier value),Route,PCORnet
1,INTRACORPUS_CAVERNOSUM,Intracorpus cavernosum route (qualifier value),Route,PCORnet
1,INTRACRANIAL,Intracranial route (qualifier value),Route,PCORnet
1,INTRADERMAL,Intradermal route (qualifier value),Route,PCORnet
1,INTRADIALYTIC,Intradialytic route (qualifier value),Route,PCORnet
1,INTRADISCAL,Intradiscal route (qualifier value),Route,PCORnet
1,INTRADUCTAL,Intraductal route (qualifier value),Route,PCORnet
1,INTRADUODENAL,Intraduodenal route (qualifier value),Route,PCORnet
1,INTRADURAL,Intradural route (qualifier value),Route,PCORnet
1,INTRAEPICARDIAL,Intraepicardial route (qualifier value),Route,PCORnet
1,INTRAEPIDERMAL,Intraepidermal route (qualifier value),Route,PCORnet
1,INTRAESOPHAGEAL,Intraesophageal route (qualifier value),Route,PCORnet
1,INTRAGASTRIC,Intragastric route (qualifier value),Route,PCORnet
1,INTRAGINGIVAL,Intragingival route (qualifier value),Route,PCORnet
1,INTRAGLANDULAR,Intraglandular route (qualifier value),Route,PCORnet
1,INTRAHEPATIC,Intrahepatic route (qualifier value),Route,PCORnet
