concept_id,concept_code,concept_name,domain_id,vocabulary_id
1,%,percent,Units,PCORnet
1,%{abnormal},percent abnormal,Units,PCORnet
1,%{activity},percent activity,Units,PCORnet
1,%{aggregation},percent aggregation,Units,PCORnet
1,%{at_60_min},percent at 60 minute,Units,PCORnet
1,%{bacteria},percent of bacteria,Units,PCORnet
1,%{basal_activity},percent basal activity,Units,PCORnet
1,%{baseline},percent of baseline,Units,PCORnet
1,%{binding},percent binding,Units,PCORnet
1,%{blockade},percent blockade,Units,PCORnet
1,%{blocked},percent blocked,Units,PCORnet
1,%{bound},percent bound,Units,PCORnet
1,%{breakdown},percent breakdown,Units,PCORnet
1,%{cells},percent of cells,Units,PCORnet
1,%{deficient},percent deficient,Units,PCORnet
1,%{dose},percent dose,Units,PCORnet
1,%{excretion},percent excretion,Units,PCORnet
1,%{Hb},percent hemoglobin,Units,PCORnet
1,%{hemolysis},percent hemolysis,Units,PCORnet
1,%{index},percent index,Units,PCORnet
1,%{inhibition},percent inhibition,Units,PCORnet
1,%{loss_AChR},percent  loss of acetylcholine receptor,Units,PCORnet
1,%{loss},percent loss,Units,PCORnet
1,%{lysis},percent lysis,Units,PCORnet
1,%{normal},percent normal,Units,PCORnet
1,%{penetration},percent  penetration,Units,PCORnet
1,%{pooled_plasma},percent normal pooled plasma,Units,PCORnet
1,%{positive},percent positive,Units,PCORnet
1,%{RBCs},percent of red blood cells,Units,PCORnet
1,%{reactive},percent reactive,Units,PCORnet
1,%{recovery},percent recovery,Units,PCORnet
1,%{reference},percent reference,Units,PCORnet
1,%{relative},relative percent,Units,PCORnet
1,%{residual},percent residual,Units,PCORnet
1,%{response},percent response,Units,PCORnet
1,%{saturation},percent saturation,Units,PCORnet
1,%{total},percent total,Units,PCORnet
1,%{uptake},percent uptake,Units,PCORnet
1,%{viable},percent viable,Units,PCORnet
1,%{vol},percent by volume,Units,PCORnet
1,%{WBCs},percent of white blood cells,Units,PCORnet
1,/(12.h),per twelve hour,Units,PCORnet
1,/[arb'U],per arbitrary unit,Units,PCORnet
1,/[HPF],per high power field,Units,PCORnet
1,/[IU],per international unit,Units,PCORnet
1,/[IU]/mL,per international unit per milliliter,Units,PCORnet
1,/[LPF],per low power field,Units,PCORnet
1,/{entity},per entity,Units,PCORnet
1,/{OIF},per oil immersion field,Units,PCORnet
1,/10*10,per 10 billion,Units,PCORnet
1,/10*12,per trillion,Units,PCORnet
1,/10*12{RBCs},per trillion red blood cells,Units,PCORnet
1,/10*3,per thousand,Units,PCORnet
1,/10*3{RBCs},per thousand red blood cells,Units,PCORnet
1,/10*4{RBCs},per 10 thousand red blood cells,Units,PCORnet
1,/10*6,per million,Units,PCORnet
1,/10*9,per billion,Units,PCORnet
1,/100,per 100,Units,PCORnet
1,/100{cells},per 100 cells,Units,PCORnet
1,/100{neutrophils},per 100 neutrophils,Units,PCORnet
1,/100{spermatozoa},per 100 spermatozoa,Units,PCORnet
1,/100{WBCs},per 100 white blood cells,Units,PCORnet
1,/a,per year,Units,PCORnet
1,/cm[H2O],per centimeter of water,Units,PCORnet
1,/d,per day,Units,PCORnet
1,/dL,per deciliter,Units,PCORnet
1,/g,per gram,Units,PCORnet
1,/g{creat},per gram of creatinine,Units,PCORnet
1,/g{Hb},per gram of hemoglobin,Units,PCORnet
1,/g{tot_nit},per gram of total nitrogen,Units,PCORnet
1,/g{tot_prot},per gram of total protein,Units,PCORnet
1,/g{wet_tis},per gram of wet tissue,Units,PCORnet
1,/h,per hour,Units,PCORnet
1,/kg,per kilogram,Units,PCORnet
1,/kg{body_wt},per kilogram of body weight,Units,PCORnet
1,/L,per liter,Units,PCORnet
1,/m2,per square meter,Units,PCORnet
1,/m3,per cubic meter,Units,PCORnet
1,/mg,per milligram,Units,PCORnet
1,/min,per minute,Units,PCORnet
1,/mL,per milliliter,Units,PCORnet
1,/mm,per millimeter,Units,PCORnet
1,/mm3,per cubic millimeter,Units,PCORnet
1,/mmol{creat},per millimole of creatinine,Units,PCORnet
1,/mo,per month,Units,PCORnet
1,/s,per second,Units,PCORnet
1,/U,per enzyme unit,Units,PCORnet
1,/uL,per microliter,Units,PCORnet
1,/wk,per week,Units,PCORnet
1,[APL'U],IgA anticardiolipin unit**,Units,PCORnet
1,[APL'U]/mL,IgA anticardiolipin unit per milliliter**,Units,PCORnet
1,[arb'U],arbitrary unit,Units,PCORnet
1,[arb'U]/mL,arbitrary unit per milliliter,Units,PCORnet
1,[AU],allergy unit,Units,PCORnet
1,[AU]/ml,Allergy unit per milliliter,Units,PCORnet
1,[bdsk'U],Bodansky unit,Units,PCORnet
1,[beth'U],Bethesda unit,Units,PCORnet
1,[beth'U]/ml,Bethesda unit per milliliter,Units,PCORnet
1,[CFU],colony forming unit,Units,PCORnet
1,[CFU]/L,colony forming unit per liter,Units,PCORnet
1,[CFU]/mL,colony forming unit per milliliter,Units,PCORnet
1,[Ch],French (catheter gauge),Units,PCORnet
1,[cin_i],cubic inch (international),Units,PCORnet
1,[degF],degree Fahrenheit,Units,PCORnet
1,[diop],diopter,Units,PCORnet
1,[dr_av],dram  (US and British),Units,PCORnet
1,[drp],drop (1/12 milliliter),Units,PCORnet
1,[FEU],Fibrinogen equivalent units,Units,PCORnet
1,[foz_us],fluid ounce (US),Units,PCORnet
1,[ft_i],foot (international),Units,PCORnet
1,[ft_us]/[ft_us],feet (US) per feet (US),Units,PCORnet
1,[gal_us],gallon (US),Units,PCORnet
1,[GPL'U],IgG anticardiolipin unit**,Units,PCORnet
1,[GPL'U]/mL,IgG anticardiolipin unit per milliliter**,Units,PCORnet
1,[HPF],high power field,Units,PCORnet
1,[in_i],inch (international),Units,PCORnet
1,[in_i'H2O],inch (international) of water,Units,PCORnet
1,[in_us],inches (US),Units,PCORnet
1,[IU],international unit,Units,PCORnet
1,[IU]/(2.h),international unit per 2 hour,Units,PCORnet
1,[IU]/(24.h),international unit per 24 hour,Units,PCORnet
1,[IU]/10*9{RBCs},international unit per billion red blood cells,Units,PCORnet
1,[IU]/d,international unit per day,Units,PCORnet
1,[IU]/dL,international unit per deciliter,Units,PCORnet
1,[IU]/g,international unit per gram,Units,PCORnet
1,[IU]/g{Hb},international unit per gram of hemoglobin,Units,PCORnet
1,[IU]/h,international unit per hour,Units,PCORnet
1,[IU]/kg,international unit per kilogram,Units,PCORnet
1,[IU]/kg/d,international unit per kilogram per day,Units,PCORnet
1,[IU]/kg/h,international unit per kilogram per hour,Units,PCORnet
1,[IU]/L,international unit per liter,Units,PCORnet
1,[IU]/L{37Cel},international unit per liter at 37 degrees Celsius,Units,PCORnet
1,[IU]/mg{creat},international unit per milligram of creatinine,Units,PCORnet
1,[IU]/min,international unit per minute,Units,PCORnet
1,[IU]/mL,international unit per milliliter,Units,PCORnet
1,[ka'U],King Armstrong unit,Units,PCORnet
1,[knk'U],Kunkel unit,Units,PCORnet
1,[lb_av],pound (US and British),Units,PCORnet
1,[LPF],low power field,Units,PCORnet
1,[mclg'U],Maclagan unit,Units,PCORnet
1,[MET].min/wk,metabolic equivalent minute per week,Units,PCORnet
1,[mi_i],mile (international),Units,PCORnet
1,[MPL'U],IgM anticardiolipin unit**,Units,PCORnet
1,[MPL'U]/mL,IgM anticardiolipin unit per milliliter**,Units,PCORnet
1,[oz_av],ounce (US and British),Units,PCORnet
1,[oz_tr],Troy ounce,Units,PCORnet
1,[pH],pH,Units,PCORnet
1,[ppb],part per billion,Units,PCORnet
1,[ppm],part per million,Units,PCORnet
1,[ppm]{v/v},part per million in volume per volume,Units,PCORnet
1,[ppth],part per thousand,Units,PCORnet
1,[pptr],part per trillion,Units,PCORnet
1,[PRU],peripheral vascular resistance unit,Units,PCORnet
1,[psi],pound per square inch,Units,PCORnet
1,[pt_us],pint (US),Units,PCORnet
1,[qt_us],quart (US),Units,PCORnet
1,[sft_i],square foot (international),Units,PCORnet
1,[sin_i],square inch (international),Units,PCORnet
1,[syd_i],square yard (international),Units,PCORnet
1,[tbs_us],tablespoon (US),Units,PCORnet
1,[tb'U],tuberculin unit,Units,PCORnet
1,[todd'U],Todd unit,Units,PCORnet
1,[tsp_us],teaspoon (US),Units,PCORnet
1,[yd_i],yard (international),Units,PCORnet
1,{#},number,Units,PCORnet
1,{#}/[HPF],number per high power field,Units,PCORnet
1,{#}/[LPF],number per low power field,Units,PCORnet
1,{#}/{platelet},molecule per platelet,Units,PCORnet
1,{#}/a,number per annum (year),Units,PCORnet
1,{#}/d,number per day,Units,PCORnet
1,{#}/g,number per gram,Units,PCORnet
1,{#}/L,number per liter,Units,PCORnet
1,{#}/min,number per minute,Units,PCORnet
1,{#}/mL,number per milliliter,Units,PCORnet
1,{#}/uL,number per microliter,Units,PCORnet
1,{#}/wk,number per week,Units,PCORnet
1,{absorbance},absorbance,Units,PCORnet
1,{activity},activity,Units,PCORnet
1,{AHF'U},American Hospital Formulary unit,Units,PCORnet
1,{APS'U},IgA antiphosphatidylserine unit,Units,PCORnet
1,{ARU},aspirin response unit,Units,PCORnet
1,{beats}/min,heart beats per minute,Units,PCORnet
1,{binding_index},binding index,Units,PCORnet
1,{breaths}/min,breaths per minute,Units,PCORnet
1,{CAE'U},complement activity enzyme unit,Units,PCORnet
1,{CAG_repeats},CAG trinucleotide repeats,Units,PCORnet
1,{cells},cells,Units,PCORnet
1,{cells}/[HPF],cells per high power field,Units,PCORnet
1,{cells}/uL,cells per microliter,Units,PCORnet
1,{CH100'U},complement CH100 unit,Units,PCORnet
1,{clock_time},clock time e.g 12:30PM,Units,PCORnet
1,{copies},copies,Units,PCORnet
1,{copies}/mL,copies per milliliter,Units,PCORnet
1,{copies}/ug,copies per microgram,Units,PCORnet
1,{count},count,Units,PCORnet
1,{CPM},counts per minute,Units,PCORnet
1,{CPM}/10*3{cell},counts per minute per thousand cells,Units,PCORnet
1,{Ct_value},Cycle threshold value,Units,PCORnet
1,{delta_OD},change in (delta) optical density,Units,PCORnet
1,{dilution},dilution,Units,PCORnet
1,{Ehrlich'U},Ehrlich unit,Units,PCORnet
1,{Ehrlich'U}/(2.h),Ehrlich unit per 2 hour,Units,PCORnet
1,{Ehrlich'U}/100.g,Ehrlich unit per 100 gram,Units,PCORnet
1,{Ehrlich'U}/d,Ehrlich unit per day,Units,PCORnet
1,{Ehrlich'U}/dL,Ehrlich unit per deciliter,Units,PCORnet
1,{EIA_index},EIA index,Units,PCORnet
1,{EIA_titer},EIA titer,Units,PCORnet
1,{EIA'U},EIA unit,Units,PCORnet
1,{EIA'U}/U,EIA unit per enzyme unit,Units,PCORnet
1,{ELISA'U},ELISA unit,Units,PCORnet
