concept_type,concept_id,concept_name,med_type
ADHD medication,21165546,1 ML Methylphenidate 0.5 MG/ML Oral Solution,1
ADHD medication,21096707,1 ML Methylphenidate 1 MG/ML Oral Solution,1
ADHD medication,35777879,1 ML Methylphenidate 1 MG/ML Oral Solution by Drug Tariff Special Order,1
ADHD medication,21067304,1 ML Methylphenidate 1 MG/ML Oral Suspension,1
ADHD medication,35777286,1 ML Methylphenidate 1 MG/ML Oral Suspension by Drug Tariff Special Order,1
ADHD medication,21067305,1 ML Methylphenidate 1.25 MG/ML Oral Solution,1
ADHD medication,21096706,1 ML Methylphenidate 2 MG/ML Oral Solution,1
ADHD medication,21057463,1 ML Methylphenidate 2.5 MG/ML Oral Solution,1
ADHD medication,21086946,1 ML Methylphenidate 3 MG/ML Oral Solution,1
ADHD medication,21077199,1 ML Methylphenidate 4 MG/ML Oral Solution,1
ADHD medication,35142140,1000 MG Methylphenidate 0.01 MG/MG Oral Powder,1
ADHD medication,35151583,1000 MG Methylphenidate 0.01 MG/MG Oral Powder [Ritalin],1
ADHD medication,35146703,1010 MG Methylphenidate 0.01 MG/MG Oral Powder,1
ADHD medication,35787844,150 ML Methylphenidate 1 MG/ML Oral Solution,1
ADHD medication,35787865,150 ML Methylphenidate 1 MG/ML Oral Solution by Drug Tariff Special Order,1
ADHD medication,21059459,150 ML Methylphenidate 1 MG/ML Oral Suspension,1
ADHD medication,35788072,150 ML Methylphenidate 1 MG/ML Oral Suspension by Drug Tariff Special Order,1
ADHD medication,1366650,20/80 Release 24 HR methylphenidate hydrochloride 25 MG Extended Release Oral Capsule,1
ADHD medication,1366652,20/80 Release 24 HR methylphenidate hydrochloride 25 MG Extended Release Oral Capsule [Adhansia],1
ADHD medication,1366654,20/80 Release 24 HR methylphenidate hydrochloride 35 MG Extended Release Oral Capsule,1
ADHD medication,1366656,20/80 Release 24 HR methylphenidate hydrochloride 35 MG Extended Release Oral Capsule [Adhansia],1
ADHD medication,1366658,20/80 Release 24 HR methylphenidate hydrochloride 45 MG Extended Release Oral Capsule,1
ADHD medication,1366660,20/80 Release 24 HR methylphenidate hydrochloride 45 MG Extended Release Oral Capsule [Adhansia],1
ADHD medication,1366662,20/80 Release 24 HR methylphenidate hydrochloride 55 MG Extended Release Oral Capsule,1
ADHD medication,1366664,20/80 Release 24 HR methylphenidate hydrochloride 55 MG Extended Release Oral Capsule [Adhansia],1
ADHD medication,1366668,20/80 Release 24 HR methylphenidate hydrochloride 70 MG Extended Release Oral Capsule,1
ADHD medication,1366670,20/80 Release 24 HR methylphenidate hydrochloride 70 MG Extended Release Oral Capsule [Adhansia],1
ADHD medication,1366665,20/80 Release 24 HR methylphenidate hydrochloride 85 MG Extended Release Oral Capsule,1
ADHD medication,1366666,20/80 Release 24 HR methylphenidate hydrochloride 85 MG Extended Release Oral Capsule [Adhansia],1
ADHD medication,40171518,24 HR dexmethylphenidate hydrochloride 10 MG Extended Release Oral Capsule,1
ADHD medication,40171519,24 HR dexmethylphenidate hydrochloride 10 MG Extended Release Oral Capsule [Focalin],1
ADHD medication,40171520,24 HR dexmethylphenidate hydrochloride 15 MG Extended Release Oral Capsule,1
ADHD medication,40171521,24 HR dexmethylphenidate hydrochloride 15 MG Extended Release Oral Capsule [Focalin],1
ADHD medication,40171522,24 HR dexmethylphenidate hydrochloride 20 MG Extended Release Oral Capsule,1
ADHD medication,40171523,24 HR dexmethylphenidate hydrochloride 20 MG Extended Release Oral Capsule [Focalin],1
ADHD medication,40238670,24 HR dexmethylphenidate hydrochloride 25 MG Extended Release Oral Capsule,1
ADHD medication,40238671,24 HR dexmethylphenidate hydrochloride 25 MG Extended Release Oral Capsule [Focalin],1
ADHD medication,40171524,24 HR dexmethylphenidate hydrochloride 30 MG Extended Release Oral Capsule,1
ADHD medication,40171525,24 HR dexmethylphenidate hydrochloride 30 MG Extended Release Oral Capsule [Focalin],1
ADHD medication,40238672,24 HR dexmethylphenidate hydrochloride 35 MG Extended Release Oral Capsule,1
ADHD medication,40238673,24 HR dexmethylphenidate hydrochloride 35 MG Extended Release Oral Capsule [Focalin],1
ADHD medication,40224110,24 HR dexmethylphenidate hydrochloride 40 MG Extended Release Oral Capsule,1
ADHD medication,40224111,24 HR dexmethylphenidate hydrochloride 40 MG Extended Release Oral Capsule [Focalin],1
ADHD medication,40171526,24 HR dexmethylphenidate hydrochloride 5 MG Extended Release Oral Capsule,1
ADHD medication,40171527,24 HR dexmethylphenidate hydrochloride 5 MG Extended Release Oral Capsule [Focalin],1
ADHD medication,35603423,24 HR methylphenidate 40 MG Chewable Extended Release Oral Tablet,1
ADHD medication,35603425,24 HR methylphenidate 40 MG Chewable Extended Release Oral Tablet [QuilliChew],1
ADHD medication,40235269,24 HR methylphenidate hydrochloride 18 MG Extended Release Oral Tablet,1
ADHD medication,40235270,24 HR methylphenidate hydrochloride 18 MG Extended Release Oral Tablet [Concerta],1
ADHD medication,35604651,24 HR methylphenidate hydrochloride 20 MG Chewable Extended Release Oral Tablet,1
ADHD medication,35604655,24 HR methylphenidate hydrochloride 20 MG Chewable Extended Release Oral Tablet [QuilliChew],1
ADHD medication,40235274,24 HR methylphenidate hydrochloride 27 MG Extended Release Oral Tablet,1
ADHD medication,40235275,24 HR methylphenidate hydrochloride 27 MG Extended Release Oral Tablet [Concerta],1
ADHD medication,35606517,24 HR methylphenidate hydrochloride 30 MG Chewable Extended Release Oral Tablet,1
ADHD medication,35606519,24 HR methylphenidate hydrochloride 30 MG Chewable Extended Release Oral Tablet [QuilliChew],1
ADHD medication,40235279,24 HR methylphenidate hydrochloride 36 MG Extended Release Oral Tablet,1
ADHD medication,40235280,24 HR methylphenidate hydrochloride 36 MG Extended Release Oral Tablet [Concerta],1
ADHD medication,42901645,24 HR methylphenidate hydrochloride 5 MG/ML Extended Release Suspension,1
ADHD medication,42901646,24 HR methylphenidate hydrochloride 5 MG/ML Extended Release Suspension [Quillivant],1
ADHD medication,40235286,24 HR methylphenidate hydrochloride 54 MG Extended Release Oral Tablet,1
ADHD medication,40235287,24 HR methylphenidate hydrochloride 54 MG Extended Release Oral Tablet [Concerta],1
ADHD medication,793414,24 HR methylphenidate hydrochloride 72 MG Extended Release Oral Tablet,1
ADHD medication,35201926,24 HR methylphenidate hydrochloride 72 MG Extended Release Oral Tablet [Relexxii],1
