"concept_id","concept_code","concept_name","vocabulary_id"
37497619,"2262024",amoxicillin / omeprazole / rifabutin Delayed Release Oral Capsule,RxNorm
40009492,"370576",amoxicillin Oral Suspension,RxNorm
40009463,"370577",amoxicillin Chewable Tablet,RxNorm
40009472,"370578",amoxicillin Oral Capsule,RxNorm
40009507,"370579",amoxicillin Oral Tablet,RxNorm
40009204,"370580",Amoxicillin / Clavulanic Acid Oral Suspension,RxNorm
40009197,"370581",Amoxicillin / Clavulanic Acid Chewable Tablet,RxNorm
40009209,"370582",Amoxicillin / Clavulanic Acid Oral Tablet,RxNorm
40009213,"370884",amoxicillin / diclofenac Oral Tablet,RxNorm
40008344,"370875",ambroxol / amoxicillin Oral Suspension,RxNorm
40008345,"370876",ambroxol / amoxicillin Oral Tablet,RxNorm
40009192,"370877",amoxicillin / bromhexine Oral Suspension,RxNorm
40009225,"370878",amoxicillin / brovanexine Oral Suspension,RxNorm
40009226,"370879",amoxicillin / brovanexine Oral Tablet,RxNorm
40009221,"370880",Amoxicillin / Sulbactam Injectable Solution,RxNorm
40009223,"370881",amoxicillin / sulbactam Oral Tablet,RxNorm
40009469,"370882",amoxicillin Injectable Solution,RxNorm
40009193,"370883",amoxicillin / bromhexine Oral Tablet,RxNorm
40009212,"370885",amoxicillin / diclofenac Oral Capsule,RxNorm
40009214,"370886",amoxicillin / floxacillin Oral Capsule,RxNorm
40009215,"370887",amoxicillin / floxacillin Oral Suspension,RxNorm
40009217,"370888",amoxicillin / nystatin Oral Capsule,RxNorm
40009218,"370889",amoxicillin / nystatin Oral Suspension,RxNorm
40009219,"370890",amoxicillin / piroxicam Oral Tablet,RxNorm
40009222,"370891",amoxicillin / sulbactam Oral Suspension,RxNorm
40009224,"370892",amoxicillin / sulfinpyrazone Oral Capsule,RxNorm
40008343,"376166",ambroxol / amoxicillin Oral Capsule,RxNorm
40009191,"376167",amoxicillin / bromhexine Oral Capsule,RxNorm
40009201,"377204",Amoxicillin / Clavulanic Acid Injectable Solution,RxNorm
40105046,"562250",amoxicillin / clavulanate Oral Tablet,RxNorm
40105044,"562252",amoxicillin / clavulanate Chewable Tablet,RxNorm
40009195,"437472",amoxicillin / carbocysteine Oral Suspension,RxNorm
40009194,"437474",amoxicillin / carbocysteine Oral Capsule,RxNorm
40009216,"437498",Amoxicillin / Floxacillin Syrup,RxNorm
40009220,"437523",amoxicillin / probenecid Oral Suspension,RxNorm
40009509,"437527",Amoxicillin Syrup,RxNorm
40009211,"437541",amoxicillin / clonixin Oral Tablet,RxNorm
40140555,"721823",Amoxicillin / Clavulanic Acid Injectable Solution,RxNorm
40131076,"617292",amoxicillin / clavulanate Oral Solution,RxNorm
40131075,"617294",amoxicillin / clavulanate Injectable Solution,RxNorm
40131077,"617301",amoxicillin / clavulanate Oral Suspension,RxNorm
40131073,"617988",amoxicillin / clavulanate Extended Release Oral Tablet,RxNorm
40131072,"617994",Amoxicillin / Clavulanate 12 hour Extended Release Tablet,RxNorm
40133198,"637681",Amoxicillin / Ampicillin Oral Capsule,RxNorm
40133199,"637702",Amoxicillin / Ampicillin Oral Suspension,RxNorm
40145354,"756429",amoxicillin Oral Solution,RxNorm
40145335,"757162",amoxicillin / floxacillin Oral Solution,RxNorm
40152865,"802549",amoxicillin Extended Release Oral Tablet,RxNorm
40009199,"378745",Amoxicillin / Clavulanic Acid Extended Release Tablet,RxNorm
40009196,"379090",Amoxicillin / Clavulanic Acid 12 hour Extended Release Tablet,RxNorm
40009467,"381240",amoxicillin Disintegrating Oral Tablet,RxNorm
40009203,"385053",Amoxicillin / Clavulanic Acid Oral Solution,RxNorm
