"concept_id","concept_code","concept_name","vocabulary_id"
36222209,"1167954",Bactrim Injectable Product,RxNorm
36222210,"1167955",Bactrim Oral Liquid Product,RxNorm
36222211,"1167956",Bactrim Oral Product,RxNorm
36222212,"1167959",Bactrim Pill,RxNorm
19117397,"565646",sulfamethoxazole 267 MG/ML / trimethoprim 53.3 MG/ML [Bactrim],RxNorm
40121247,"565647",Sulfamethoxazole 80 MG/ML / Trimethoprim 16 MG/ML [Bactrim I.V. Infusion],RxNorm
19117749,"566133",sulfamethoxazole 100 MG / trimethoprim 20 MG [Bactrim],RxNorm
40121225,"569098",Sulfamethoxazole 40 MG/ML / Trimethoprim 8 MG/ML [Bactrim Pediatric],RxNorm
19020463,"569113",sulfamethoxazole 400 MG / trimethoprim 80 MG [Bactrim],RxNorm
40081424,"208400",Sulfamethoxazole 40 MG/ML / Trimethoprim 8 MG/ML Oral Suspension [Bactrim Pediatric],RxNorm
19038428,"208416",sulfamethoxazole 400 MG / trimethoprim 80 MG Oral Tablet [Bactrim],RxNorm
40121253,"562866",Sulfamethoxazole 800 MG / Trimethoprim 160 MG [Bactrim DS],RxNorm
19020462,"151399",Bactrim,RxNorm
40081375,"402967",Sulfamethoxazole / Trimethoprim Injectable Solution [Bactrim I.V. Infusion],RxNorm
40081390,"402968",Sulfamethoxazole / Trimethoprim Oral Tablet [Bactrim Pediatric],RxNorm
40081376,"403106",sulfamethoxazole / trimethoprim Injectable Solution [Bactrim],RxNorm
40081771,"91919",Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet [Bactrim DS],RxNorm
19135952,"91920",Bactrim I.V. Infusion,RxNorm
19049278,"215545",Bactrim Pediatric,RxNorm
40081380,"366110",Sulfamethoxazole / Trimethoprim Oral Suspension [Bactrim Pediatric],RxNorm
40081389,"367978",Sulfamethoxazole / Trimethoprim Oral Tablet [Bactrim DS],RxNorm
40081391,"369244",sulfamethoxazole / trimethoprim Oral Tablet [Bactrim],RxNorm
19095936,"346206",Bactrim DS,RxNorm
19024442,"201023",sulfamethoxazole 267 MG/ML / trimethoprim 53.3 MG/ML Injectable Solution [Bactrim],RxNorm
40081763,"201024",Sulfamethoxazole 80 MG/ML / Trimethoprim 16 MG/ML Injectable Solution [Bactrim I.V. Infusion],RxNorm
19026199,"202242",sulfamethoxazole 100 MG / trimethoprim 20 MG Oral Tablet [Bactrim],RxNorm
19135630,"849570",sulfamethoxazole 40 MG/ML / trimethoprim 8 MG/ML [Bactrim],RxNorm
40160705,"849571",sulfamethoxazole / trimethoprim Oral Suspension [Bactrim],RxNorm
1836469,"849572",sulfamethoxazole 40 MG/ML / trimethoprim 8 MG/ML Oral Suspension [Bactrim],RxNorm
19020465,"849579",sulfamethoxazole 800 MG / trimethoprim 160 MG [Bactrim],RxNorm
19135631,"849580",sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet [Bactrim],RxNorm
19020466,"849581",sulfamethoxazole 80 MG/ML / trimethoprim 16 MG/ML [Bactrim],RxNorm
1836471,"849582",sulfamethoxazole 80 MG/ML / trimethoprim 16 MG/ML Injectable Solution [Bactrim],RxNorm
