"concept_id","concept_code","concept_name","vocabulary_id"
40042614,"378618",fluoxetine Delayed Release Oral Capsule,RxNorm
40042286,"406024",fluoxetine / olanzapine Oral Capsule,RxNorm
40042619,"372231",fluoxetine Oral Capsule,RxNorm
40042622,"372232",fluoxetine Oral Solution,RxNorm
40042624,"372233",fluoxetine Oral Tablet,RxNorm
40042617,"374650",fluoxetine Extended Release Oral Tablet,RxNorm
40126303,"579897",Fluoxetine Extended Release Oral Capsule,RxNorm
40127657,"596853",Fluoxetine Extended Release Enteric Coated Capsule,RxNorm
40042616,"439755",fluoxetine Delayed Release Oral Tablet,RxNorm
40138950,"700398",Fluoxetine Syrup,RxNorm
40155573,"826097",fluoxetine Chewable Tablet,RxNorm
