"concept_id","concept_name","concept_code","vocabulary_id"
1510781,"0.005 ML dexamethasone 103.4 MG/ML Injection","2045404","RxNorm"
1510782,"0.005 ML dexamethasone 103.4 MG/ML Injection [Dexycu]","2045409","RxNorm"
904510,"0.1 ML triamcinolone acetonide 80 MG/ML Prefilled Syringe","833449","RxNorm"
904511,"0.1 ML triamcinolone acetonide 80 MG/ML Prefilled Syringe [Trivaris]","835559","RxNorm"
41445666,"0.25 ML Triamcinolone 40 MG/ML Injectable Solution","OMOP2643628","RxNorm Extension"
41445912,"0.25 ML Triamcinolone 40 MG/ML Injectable Solution Box of 3","OMOP2643874","RxNorm Extension"
41445579,"0.25 ML Triamcinolone 40 MG/ML Injectable Solution Box of 5","OMOP2643541","RxNorm Extension"
41445496,"0.25 ML Triamcinolone 40 MG/ML Injectable Solution [Volon A]","OMOP2643458","RxNorm Extension"
41445921,"0.25 ML Triamcinolone 40 MG/ML Injectable Solution [Volon A] Box of 3","OMOP2643883","RxNorm Extension"
41445733,"0.25 ML Triamcinolone 40 MG/ML Injectable Solution [Volon A] Box of 5","OMOP2643695","RxNorm Extension"
41445858,"0.25 ML Triamcinolone 40 MG/ML Injectable Solution [Volon A] Box of 5 by DermaPharm","OMOP2643820","RxNorm Extension"
41445517,"0.25 ML Triamcinolone 40 MG/ML Injectable Suspension","OMOP2643479","RxNorm Extension"
41445867,"0.25 ML Triamcinolone 40 MG/ML Injectable Suspension Box of 3","OMOP2643829","RxNorm Extension"
41445786,"0.25 ML Triamcinolone 40 MG/ML Injectable Suspension Box of 5","OMOP2643748","RxNorm Extension"
41445734,"0.25 ML Triamcinolone 40 MG/ML Injectable Suspension [Volon A]","OMOP2643696","RxNorm Extension"
41445920,"0.25 ML Triamcinolone 40 MG/ML Injectable Suspension [Volon A] Box of 3","OMOP2643882","RxNorm Extension"
41445732,"0.25 ML Triamcinolone 40 MG/ML Injectable Suspension [Volon A] Box of 5","OMOP2643694","RxNorm Extension"
41445857,"0.25 ML Triamcinolone 40 MG/ML Injectable Suspension [Volon A] Box of 5 by DermaPharm","OMOP2643819","RxNorm Extension"
43651866,"0.25 ML Triamcinolone 54.4 MG/ML Injectable Solution","OMOP715421","RxNorm Extension"
43687761,"0.25 ML Triamcinolone 54.4 MG/ML Injectable Solution Box of 10","OMOP715424","RxNorm Extension"
41445550,"0.25 ML Triamcinolone 54.4 MG/ML Injectable Solution Box of 3","OMOP2643512","RxNorm Extension"
41445549,"0.25 ML Triamcinolone 54.4 MG/ML Injectable Solution Box of 30","OMOP2643511","RxNorm Extension"
43669861,"0.25 ML Triamcinolone 54.4 MG/ML Injectable Solution Box of 5","OMOP715422","RxNorm Extension"
41445787,"0.25 ML Triamcinolone 54.4 MG/ML Injectable Solution Box of 50","OMOP2643749","RxNorm Extension"
41445548,"0.25 ML Triamcinolone 54.4 MG/ML Injectable Solution Box of 60","OMOP2643510","RxNorm Extension"
41445639,"0.25 ML Triamcinolone 54.4 MG/ML Injectable Solution [Volon A]","OMOP2643601","RxNorm Extension"
43831628,"0.25 ML Triamcinolone 54.4 MG/ML Injectable Solution [Volon A] Box of 10","OMOP715429","RxNorm Extension"
43741685,"0.25 ML Triamcinolone 54.4 MG/ML Injectable Solution [Volon A] Box of 10 by DermaPharm","OMOP715430","RxNorm Extension"
41445638,"0.25 ML Triamcinolone 54.4 MG/ML Injectable Solution [Volon A] Box of 3","OMOP2643600","RxNorm Extension"
